ranking, submission_id, language, time, submission_date,
1,65545390,C++,0,10/8/12, 3:31:12 AM
2,76599205,C++,0,6/11/15, 4:09:08 PM
3,44651395,C++,4,12/21/12, 11:57:20 PM
4,18534153,C++,4,1/9/13, 1:01:15 AM
5,84479635,C++,4,12/3/13, 2:01:35 PM
6,75502006,C++,4,2/21/14, 11:28:37 PM
7,73412531,C++,4,2/24/14, 5:18:08 PM
8,65727053,C++,4,2/24/14, 9:53:09 PM
9,92753027,C++,4,3/2/14, 4:08:55 PM
10,28684215,C++,4,7/9/14, 5:25:53 AM
11,88597792,C++,4,8/7/14, 1:18:01 AM
12,20941889,C++,4,8/7/14, 1:18:53 PM
13,14062989,C++,4,8/24/14, 10:53:24 AM
14,45031295,C++,4,11/20/14, 3:35:57 PM
15,23365502,C++,4,3/11/15, 11:08:10 AM
16,90138492,C,4,5/3/15, 6:58:24 PM
17,15276633,C,4,5/31/15, 12:52:59 AM
18,60137949,C,4,6/7/15, 5:48:51 PM
19,35833746,C,4,6/9/15, 11:27:38 AM
20,90829956,C++,4,6/11/15, 10:37:21 PM
21,16569523,C++,4,6/12/15, 12:30:06 AM
22,40509371,C,4,6/29/15, 3:12:27 PM
23,31437427,C,4,7/2/15, 8:20:56 AM
24,70307535,C,4,7/18/15, 7:05:31 PM
25,14320212,C,4,9/1/15, 9:43:52 AM
26,47538129,C,4,2/17/16, 7:21:57 PM
27,79004617,C,4,6/16/16, 12:07:03 PM
28,45615210,C++,8,10/8/12, 12:40:10 PM
29,53544196,C++,8,10/13/12, 5:50:45 PM
30,78258733,C++,8,10/16/12, 5:42:13 PM
31,77975190,C++,8,10/23/12, 12:31:58 PM
32,85367054,C++,8,11/7/12, 2:23:23 PM
33,58622073,C++,8,11/21/12, 12:55:04 AM
34,29121622,C++,8,12/19/12, 10:56:18 AM
35,59315187,C++,8,12/22/12, 9:54:15 AM
36,75634706,C++,8,1/10/13, 3:12:32 PM
37,4467186,C++,8,2/1/13, 2:55:25 AM
38,33089981,C++,8,2/5/13, 10:21:52 AM
39,27910802,C++,8,2/6/13, 8:52:09 PM
40,40342471,C++,8,2/20/13, 4:45:10 PM
41,87144324,C++,8,2/28/13, 2:58:43 AM
42,61963833,C++,8,2/28/13, 2:05:31 PM
43,31553212,C++,8,3/7/13, 3:55:57 PM
44,73506605,C++,8,4/5/13, 12:58:47 AM
45,80401313,C++,8,4/14/13, 10:03:58 PM
46,59845724,C++,8,5/4/13, 2:28:21 PM
47,68275786,C++,8,5/22/13, 8:22:04 PM
48,80291950,C++,8,5/28/13, 6:15:33 PM
49,45604339,C++,8,6/6/13, 10:31:56 PM
50,83723956,C++,8,6/8/13, 12:30:51 PM
51,53620759,C++,8,6/11/13, 3:06:43 PM
52,35236752,C++,8,6/12/13, 2:35:50 PM
53,24192521,C++,8,6/13/13, 10:15:32 AM
54,56800991,C++,8,6/13/13, 12:33:32 PM
55,10278695,C++,8,6/16/13, 10:45:57 AM
56,63531304,C++,8,6/19/13, 3:47:38 PM
57,31283864,C++,8,6/19/13, 4:09:11 PM
58,18533994,C++,8,6/19/13, 4:10:20 PM
59,87764503,C++,8,6/30/13, 2:25:44 PM
60,90719842,C++,8,7/4/13, 4:24:34 PM
61,66809865,C++,8,7/5/13, 1:46:19 AM
62,8369739,C++,8,7/13/13, 6:54:46 PM
63,68217917,C++,8,7/16/13, 7:41:32 PM
64,14997140,C++,8,8/4/13, 12:33:55 PM
65,80854230,C++,8,8/7/13, 10:44:09 AM
66,73579872,C++,8,8/18/13, 6:19:22 AM
67,49382256,C++,8,8/19/13, 2:28:22 PM
68,39086751,C++,8,8/23/13, 4:35:25 PM
69,48876611,C++,8,8/25/13, 12:31:17 AM
70,49047526,C++,8,8/25/13, 8:08:28 PM
71,42194421,C++,8,8/28/13, 6:06:02 PM
72,74061099,C++,8,8/31/13, 2:07:38 AM
73,91255597,C++,8,8/31/13, 5:22:32 PM
74,70545468,C++,8,8/31/13, 11:05:00 PM
75,24556040,C++,8,9/2/13, 12:14:36 AM
76,95112306,C++,8,9/6/13, 6:11:53 PM
77,56775502,C++,8,9/11/13, 11:30:06 PM
78,22932876,C++,8,9/13/13, 11:34:47 AM
79,67661089,C++,8,9/17/13, 2:15:41 PM
80,20712767,C++,8,10/3/13, 2:26:48 PM
81,74470011,C++,8,10/4/13, 11:40:42 AM
82,84386283,C++,8,10/6/13, 2:33:33 PM
83,86203157,C++,8,10/7/13, 7:15:54 PM
84,27143678,C++,8,10/8/13, 3:07:29 PM
85,94709675,C++,8,10/15/13, 9:56:35 PM
86,99007997,C++,8,10/23/13, 1:24:11 PM
87,50329296,C++,8,10/24/13, 2:43:51 PM
88,2888460,C++,8,11/5/13, 12:18:46 PM
89,30880443,C++,8,11/7/13, 3:11:33 PM
90,53313676,C++,8,11/11/13, 6:08:30 PM
91,78407195,C++,8,11/12/13, 5:16:07 PM
92,64133099,C++,8,11/14/13, 2:18:55 PM
93,39122225,C++,8,11/15/13, 2:56:35 AM
94,35229724,C++,8,11/16/13, 10:21:09 PM
95,13674851,C++,8,11/20/13, 2:08:23 PM
96,69826978,C++,8,11/20/13, 8:56:59 PM
97,35101623,C++,8,11/21/13, 6:22:03 PM
98,21427061,C++,8,11/24/13, 4:39:16 PM
99,26571789,C++,8,12/1/13, 6:32:37 PM
100,97605362,C++,8,12/2/13, 12:50:48 PM
101,89178263,C++,8,12/2/13, 1:18:26 PM
102,17511233,C++,8,12/3/13, 9:50:26 AM
103,18278286,C++,8,12/3/13, 9:50:36 AM
104,74588587,C++,8,12/3/13, 9:56:08 AM
105,19612079,C++,8,12/3/13, 2:22:43 PM
106,11653040,C++,8,12/3/13, 2:24:21 PM
107,46658197,C++,8,12/3/13, 11:08:33 PM
108,53659246,C++,8,12/3/13, 11:55:47 PM
109,45968115,C++,8,12/4/13, 12:40:39 AM
110,87741166,C++,8,12/4/13, 12:53:06 AM
111,9827027,C++,8,12/4/13, 12:53:29 AM
112,35058221,C++,8,12/4/13, 6:32:40 PM
113,40114855,C++,8,12/5/13, 10:47:30 AM
114,91677956,C++,8,12/6/13, 12:53:36 PM
115,75879304,C++,8,12/6/13, 11:26:40 PM
116,27887798,C++,8,12/14/13, 3:02:25 AM
117,51432955,C++,8,12/24/13, 11:50:32 AM
118,46003291,C++,8,12/31/13, 11:03:23 AM
119,5254580,C++,8,1/2/14, 4:30:43 PM
120,32595700,C++,8,1/2/14, 4:48:29 PM
121,68492798,C++,8,1/11/14, 10:38:04 AM
122,94924181,C++,8,1/26/14, 3:14:30 AM
123,72779529,C++,8,2/7/14, 4:30:31 PM
124,5820659,C++,8,2/8/14, 8:50:38 AM
125,7905329,C++,8,2/10/14, 3:59:45 PM
126,47987921,C++,8,2/17/14, 1:08:28 AM
127,15224655,C++,8,2/20/14, 7:05:09 PM
128,87005804,C++,8,2/22/14, 11:06:39 AM
129,74662843,C++,8,2/22/14, 5:55:58 PM
130,88133163,C++,8,2/24/14, 8:37:39 AM
131,97956245,C++,8,2/24/14, 8:57:46 AM
132,4645161,C++,8,2/24/14, 9:48:32 AM
133,40251219,C++,8,2/24/14, 11:15:03 AM
134,17303859,C++,8,2/24/14, 8:31:23 PM
135,19946,C++,8,2/24/14, 8:31:59 PM
136,34420292,C++,8,2/24/14, 8:40:16 PM
137,58545053,C++,8,2/24/14, 8:50:08 PM
138,4609775,C++,8,2/24/14, 8:53:18 PM
139,1779070,C++,8,2/24/14, 9:49:10 PM
140,15711318,C++,8,2/24/14, 9:49:31 PM
141,13857750,C++,8,2/24/14, 9:51:41 PM
142,57779047,C++,8,2/24/14, 10:34:50 PM
143,63685261,C++,8,2/24/14, 11:08:16 PM
144,24509823,C++,8,2/28/14, 2:18:21 AM
145,30220263,C++,8,3/1/14, 1:06:25 PM
146,35928518,C++,8,3/1/14, 6:31:33 PM
147,11790249,C++,8,3/2/14, 12:05:02 AM
148,56131794,C++,8,3/11/14, 2:08:31 PM
149,2143476,C++,8,3/12/14, 9:47:49 AM
150,74532501,C++,8,3/12/14, 9:08:36 PM
151,85333080,C++,8,3/13/14, 1:37:58 AM
152,1495682,C++,8,3/14/14, 12:04:09 PM
153,70736479,C++,8,3/15/14, 6:35:12 AM
154,31193105,C++,8,3/15/14, 12:10:19 PM
155,75720427,C++,8,3/15/14, 2:42:21 PM
156,51010581,C++,8,3/17/14, 2:48:37 PM
157,43298987,C++,8,3/17/14, 10:03:51 PM
158,12886732,C++,8,3/21/14, 11:09:32 AM
159,16694425,C++,8,3/22/14, 2:04:42 AM
160,32615169,C++,8,3/26/14, 11:09:04 AM
161,75550428,C++,8,4/3/14, 9:55:42 AM
162,2504841,C++,8,4/8/14, 8:29:47 AM
163,68252987,C++,8,4/10/14, 4:45:25 AM
164,77237878,C++,8,4/18/14, 11:46:37 PM
165,80903722,C++,8,4/19/14, 9:51:08 PM
166,40394768,C++,8,4/21/14, 5:51:39 PM
167,9899099,C++,8,4/28/14, 8:46:30 AM
168,95833772,C++,8,4/30/14, 2:13:37 AM
169,84748365,C++,8,5/1/14, 4:04:18 PM
170,20702473,C++,8,5/3/14, 2:47:34 PM
171,73700642,C++,8,5/4/14, 12:33:49 AM
172,64695277,C++,8,5/4/14, 2:41:45 PM
173,68137794,C++,8,5/4/14, 4:40:22 PM
174,96029412,C++,8,5/4/14, 10:47:56 PM
175,74579296,C++,8,5/12/14, 2:46:42 PM
176,89758467,C++,8,5/13/14, 10:31:03 PM
177,73855722,C++,8,5/17/14, 3:45:07 PM
178,77483121,C++,8,5/17/14, 8:57:43 PM
179,5722801,C++,8,5/17/14, 10:18:27 PM
180,13325826,C++,8,5/21/14, 6:40:12 PM
181,20186565,C++,8,5/22/14, 11:07:45 AM
182,5773113,C++,8,5/26/14, 9:34:30 PM
183,13336518,C++,8,5/28/14, 1:06:46 AM
184,20685090,C++,8,5/29/14, 2:37:34 PM
